375,CodeCrunch,Indian Institute of Technology Patna,1
376,Seniya,"Sardar Vallabhbhai National Institute of Technology, Surat",1
377,Funcoderz,"College of Engineering, Guindy",1
378,Codohack,Jaypee Institute of Information Technology,1
379,Blue Sky,"National Institute Of Technology, Delhi",1
380,RAM (Random Access Memories),Narula Institute of Technology,1
381,ace_spades,Thapar University,1
382,darkknight,"Birla Institute of Technology, Patna",1
383,Topcoders,"Netaji Subhas Institute of Technology, New Delhi",1
384,learners,Jaypee Institute of Information Technology,1
385,Codebuffs,"Birla Institute Of Technology, Mesra, Deoghar Campus",1
385,Team_CPU,"Gayatri Vidya Parishad College of Engineering For Women, Visakhapatnam",1
387,MIND BOGGLER,"National Institute of Technology, Durgapur",1
388,Codeblasters,Jaypee Institute of Information Technology,1
389,Atoms,"Chandubhai S Patel Institute of Technology, Gujarat",1
390,Void Seekers,Indira Gandhi Institute of Technology,1
391,darkCoders,"University Institute of Engineering and Technology, Punjab University",1
392,Ultimatum,"Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai",1
393,Inception,Indian Institute of Technology Guwahati,1
394,BruteXCoders,"Institute of Engineering and Technology, Devi Ahilya Vishwavidyalaya",1
395,four,Indian School of Mines,1
396,CODE CALYPSE,Indian Institute of Technology Patna,1
397,Avengers,"Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai",1
398,Foobar,National Institute of Technology Karnataka,1
399,Venom,Birla Institute of Technology Mesra,1
400,Blue Coders,"Pranveer Singh Institute of Technology, Kanpur",1
401,protocol,"Rajiv Gandhi College Of Engg And Research, Nagpur",1
402,codeblue,"Institute of Technology & Management Universe, Vadodara",1
403,WeAreGroot,"International Institute of Information Technology, Hyderabad",1
404,Sprint,"Indian Institute of Information Technology, Design and Manufacturing, Jabalpur",1
405,coddicted,"Dwarkadas Jivanlal Sanghvi College of Engineering, Vile Parle, Mumbai",1
406,innovex,Anil Neerukonda Institute of Technology and Sciences,1
407,Eureka,"Jaypee University of Engineering and Technology, Guna",1
408,Z Programmers,"University Institute of Engineering and Technology, Punjab University",1
409,KodeRAP,Jaypee Institute of Information Technology,1
410,Apex Coders,Gitam University,1
411,DYNABYTZ,Indian Institute of Technology Guwahati,1
412,JRE CODERS,"JRE Group of Institutions, Greater Noida",1
413,CODEMANIA,"National Institute of Technology, Durgapur",1
